"dep","url","created","modified"
"AGROASEMEX","http://adela.datos.gob.mx/agroasemex/catalogo.json","2015-10-20 08:38:02 UTC","2015-10-30 18:51:42 UTC"
"API-ATM","http://adela.datos.gob.mx/api-atm/catalogo.json","2015-10-20 08:38:03 UTC","2015-11-09 15:59:56 UTC"
"API-ESE","http://adela.datos.gob.mx/api-ese/catalogo.json","2015-10-20 08:38:03 UTC","2015-11-04 21:23:52 UTC"
"API-GYM","http://adela.datos.gob.mx/api-gym/catalogo.json","2015-10-20 08:38:03 UTC","2015-10-26 20:48:40 UTC"
"API-LZC","http://adela.datos.gob.mx/api-lzc/catalogo.json","2015-10-20 08:38:03 UTC","2015-10-27 01:30:05 UTC"
"API-T","http://adela.datos.gob.mx/api-t/catalogo.json","2015-10-20 08:38:03 UTC","2015-10-21 22:32:50 UTC"
"API-TAM","http://adela.datos.gob.mx/api-tam/catalogo.json","2015-10-20 08:38:03 UTC","2015-10-26 23:06:48 UTC"
"API-VER","http://adela.datos.gob.mx/api-ver/catalogo.json","2015-10-20 08:38:04 UTC","2015-10-30 22:43:50 UTC"
"CENAPRED","http://adela.datos.gob.mx/cenapred/catalogo.json","2015-06-11 22:13:18 UTC","2015-06-11 22:13:59 UTC"
"CFE","http://adela.datos.gob.mx/cfe/catalogo.json","2015-10-06 19:01:45 UTC","2015-10-21 00:55:37 UTC"
"HGGEA","http://adela.datos.gob.mx/hggea/catalogo.json","2015-10-20 08:38:04 UTC","2015-11-05 16:48:47 UTC"
"IIE","http://adela.datos.gob.mx/iie/catalogo.json","2015-10-20 08:38:04 UTC","2015-10-27 19:54:35 UTC"
"Estado de Veracruz","http://adela.datos.gob.mx/estado-de-veracruz/catalogo.json","2015-10-24 15:18:45 UTC","2015-10-28 00:59:22 UTC"
"IM","http://adela.datos.gob.mx/im/catalogo.json","2015-10-16 23:51:51 UTC","2015-10-28 01:17:29 UTC"
"IMP","http://adela.datos.gob.mx/imp/catalogo.json","2015-10-20 08:38:05 UTC","2015-10-26 19:50:05 UTC"
"INC","http://adela.datos.gob.mx/inc/catalogo.json","2015-10-20 08:38:05 UTC","2015-10-26 18:36:43 UTC"
"INCAN","http://adela.datos.gob.mx/incan/catalogo.json","2015-10-20 08:38:05 UTC","2015-10-22 22:06:19 UTC"
"INEA","http://adela.datos.gob.mx/inea/catalogo.json","2015-10-20 08:38:05 UTC","2015-10-30 23:05:40 UTC"
"INECOL","http://adela.datos.gob.mx/inecol/catalogo.json","2015-10-20 08:38:06 UTC","2015-10-22 21:05:23 UTC"
"IPAB","http://adela.datos.gob.mx/ipab/catalogo.json","2015-10-20 08:38:06 UTC","2015-10-28 00:35:41 UTC"
"FIFONAFE","http://adela.datos.gob.mx/fifonafe/catalogo.json","2015-10-20 08:38:18 UTC","2015-10-28 00:41:44 UTC"
"INALI","http://adela.datos.gob.mx/inali/catalogo.json","2015-10-20 08:38:05 UTC","2015-10-27 18:31:23 UTC"
"DICONSA","http://adela.datos.gob.mx/diconsa/catalogo.json","2015-10-20 08:38:18 UTC","2015-10-27 01:01:03 UTC"
"CNSF","http://adela.datos.gob.mx/cnsf/catalogo.json","2015-10-20 08:38:06 UTC","2015-10-28 00:39:56 UTC"
"COLSAN","http://adela.datos.gob.mx/colsan/catalogo.json","2015-10-20 08:38:06 UTC","2015-10-27 18:14:00 UTC"
"INAH","http://adela.datos.gob.mx/inah/catalogo.json","2015-10-20 08:38:07 UTC","2015-10-28 00:24:56 UTC"
"BANCOMEXT","http://adela.datos.gob.mx/bancomext/catalogo.json","2015-10-20 08:38:07 UTC","2015-10-27 20:10:07 UTC"
"BANJERCITO","http://adela.datos.gob.mx/banjercito/catalogo.json","2015-10-20 08:38:07 UTC","2015-10-23 23:43:02 UTC"
"CAPUFE","http://adela.datos.gob.mx/capufe/catalogo.json","2015-10-20 08:38:07 UTC","2015-10-28 04:14:44 UTC"
"CIAD","http://adela.datos.gob.mx/ciad/catalogo.json","2015-10-20 08:38:07 UTC","2015-11-05 20:22:46 UTC"
"CIATEC","http://adela.datos.gob.mx/ciatec/catalogo.json","2015-10-27 22:55:46 UTC","2015-11-05 21:50:25 UTC"
"CIATEJ","http://adela.datos.gob.mx/ciatej/catalogo.json","2015-11-04 23:09:22 UTC","2015-11-04 23:13:31 UTC"
"CIBNOR","http://adela.datos.gob.mx/cibnor/catalogo.json","2015-10-20 08:38:08 UTC","2015-10-27 09:41:11 UTC"
"CICESE","http://adela.datos.gob.mx/cicese/catalogo.json","2015-10-20 08:38:08 UTC","2015-10-27 20:03:44 UTC"
"CIDETEQ","http://adela.datos.gob.mx/cideteq/catalogo.json","2015-10-20 08:38:08 UTC","2015-10-26 23:10:33 UTC"
"CIMAT","http://adela.datos.gob.mx/cimat/catalogo.json","2015-10-20 08:38:08 UTC","2015-10-27 22:39:41 UTC"
"CIO","http://adela.datos.gob.mx/cio/catalogo.json","2015-10-20 08:38:08 UTC","2015-10-28 16:37:40 UTC"
"CMM","http://adela.datos.gob.mx/cmm/catalogo.json","2015-10-20 08:38:08 UTC","2015-10-23 17:00:37 UTC"
"COFAA","http://adela.datos.gob.mx/cofaa/catalogo.json","2015-10-20 08:38:09 UTC","2015-10-28 19:27:35 UTC"
